Month,Sudden shock,Follow the curve,Shallow mid-term,Sustained impact
0,0,0,0,0
1,612,119,76,118
2,1224,238,152,234
3,2449,475,227,374
4,2041,950,303,420
5,1633,1188,379,448
6,1020,1206,455,467
7,510,1069,530,467
8,306,841,606,467
9,153,722,682,467
10,52,594,758,467
11,0,487,832,467
12,0,392,832,467
13,0,333,758,467
14,0,285,682,467
15,0,249,606,467
16,0,214,530,467
17,0,178,455,467
18,0,143,379,467
19,0,116,303,467
20,0,90,227,467
21,0,62,152,467
22,0,34,76,467
23,0,15,0,467
